,date,dB,something,ping,upload,download,jitter
194,2022-10-12 08:50:02,-30.6,12.5,689.73,14.03,28.25,4.1
195,2022-10-12 08:55:01,-30.6,12.7,705.18,15.82,23.98,4.82
196,2022-10-12 09:00:01,-30.7,12.5,712.27,3.82,34.49,4.15
197,2022-10-12 09:05:01,-30.5,12.6,693.73,9.84,30.9,6.77
198,2022-10-12 09:10:01,-30.8,12.5,708.73,13.84,21.13,6.53
199,2022-10-12 09:15:01,-30.2,12.9,708.73,23.82,38.06,6.55
200,2022-10-12 09:20:01,-30.5,12.5,716.27,45.45,32.05,7.02
201,2022-10-12 09:25:01,-30.4,12.8,701.64,19.06,34.0,6.97
202,2022-10-12 09:30:01,-30.7,12.3,704.36,5.08,37.38,6.28
203,2022-10-12 09:35:01,-30.5,12.4,705.0,20.96,34.53,6.87
204,2022-10-12 09:40:01,-30.2,12.7,694.64,9.71,37.73,6.8
205,2022-10-12 09:45:01,-30.6,12.6,694.0,24.65,27.85,6.55
206,2022-10-12 09:50:01,-30.5,12.4,697.45,7.71,36.86,6.95
207,2022-10-12 09:55:01,-30.1,12.8,713.18,4.38,35.88,7.12
208,2022-10-12 10:00:01,-30.4,12.6,712.0,12.29,33.96,4.3
209,2022-10-12 10:05:01,-30.4,12.6,701.73,19.03,31.1,6.48
210,2022-10-12 10:10:01,-30.2,12.8,704.91,18.65,36.33,6.82
211,2022-10-12 10:15:01,-30.2,12.6,704.73,14.38,28.99,6.45
212,2022-10-12 10:20:01,-30.3,12.8,716.91,5.48,34.66,6.8
213,2022-10-12 10:25:01,-30.2,12.9,700.45,20.07,28.12,5.04
214,2022-10-12 10:30:01,-30.4,12.5,708.55,9.45,33.93,6.9
215,2022-10-12 10:35:01,-30.4,12.8,701.18,21.39,32.91,6.87
216,2022-10-12 10:40:01,-30.3,12.7,697.45,20.55,36.38,6.7
217,2022-10-12 10:45:01,-30.7,12.6,704.82,25.6,29.59,6.3
218,2022-10-12 10:50:01,-30.7,12.7,747.18,75.75,33.65,6.7
219,2022-10-12 10:55:01,-30.5,12.7,701.55,32.5,37.69,7.24
220,2022-10-12 11:00:01,-30.9,12.6,705.36,8.49,35.75,5.81
221,2022-10-12 11:05:01,-30.5,12.9,705.18,14.21,37.11,2.55
222,2022-10-12 11:10:01,-30.4,12.7,707.55,10.04,35.06,6.85
223,2022-10-12 11:15:02,-30.7,12.7,707.64,10.56,37.73,6.43
224,2022-10-12 11:20:01,-30.6,13.0,730.91,38.62,36.1,6.82
225,2022-10-12 11:25:01,-30.7,12.8,704.0,13.78,38.31,6.9
226,2022-10-12 11:30:01,-30.7,12.6,706.45,17.5,36.98,6.55
227,2022-10-12 11:35:02,-30.4,12.7,719.27,10.16,22.7,5.98
228,2022-10-12 11:40:01,-30.9,12.6,705.36,18.83,24.21,6.92
229,2022-10-12 11:45:01,-30.6,12.7,721.45,18.01,25.45,8.46
230,2022-10-12 11:50:01,-30.6,12.8,712.55,17.39,21.05,6.95
231,2022-10-12 11:55:02,-30.5,12.8,733.36,46.37,29.64,4.82
232,2022-10-12 12:00:01,-30.7,12.3,701.45,6.39,31.06,4.87
233,2022-10-12 12:05:01,-29.6,9.1,689.73,16.62,23.61,6.65
234,2022-10-12 12:10:01,-30.1,11.5,733.36,18.32,18.23,6.95
235,2022-10-12 12:15:01,-30.3,12.6,703.82,8.98,22.56,6.08
236,2022-10-12 12:20:01,-30.3,12.9,691.73,32.15,37.92,6.87
237,2022-10-12 12:25:01,-30.6,12.6,694.45,19.04,37.93,7.07
238,2022-10-12 12:30:01,-30.3,12.9,686.55,12.24,35.23,7.05
239,2022-10-12 12:35:01,-30.4,12.9,708.45,15.56,35.82,6.78
240,2022-10-12 12:40:01,-30.5,12.8,705.27,15.85,29.97,6.3
241,2022-10-12 12:45:01,-30.6,12.6,700.18,11.23,36.58,2.97
242,2022-10-12 12:50:01,-30.4,12.9,705.73,4.55,28.18,6.33
243,2022-10-12 12:55:01,-30.8,12.6,701.91,13.1,35.63,6.73
244,2022-10-12 13:00:01,-30.3,12.8,692.91,23.5,38.16,6.7
245,2022-10-12 13:05:01,-30.4,12.8,701.73,19.22,34.98,6.55
246,2022-10-12 13:10:02,-30.2,12.8,712.0,6.78,34.94,6.77
247,2022-10-12 13:15:01,-30.4,12.8,705.09,5.54,38.25,7.44
248,2022-10-12 13:20:01,-30.6,12.8,697.91,8.33,30.14,6.75
249,2022-10-12 13:25:01,-30.4,13.0,690.36,17.4,38.03,7.27
250,2022-10-12 13:30:01,-30.2,13.1,700.45,17.18,38.05,6.7
251,2022-10-12 13:35:02,-30.4,13.0,697.64,15.4,37.65,6.23
252,2022-10-12 13:40:01,-30.6,12.9,708.55,9.56,26.91,8.13
253,2022-10-12 13:45:01,-30.3,12.9,708.55,10.08,36.77,6.92
254,2022-10-12 13:50:01,-30.6,12.9,706.0,17.43,36.16,5.69
255,2022-10-12 13:55:01,-30.6,12.9,698.18,6.72,33.1,6.5
